sample,country,fastq_1,fastq_2
SRR8071024,USA,/Users/eugenianikonorova/Documents/ITMO/data/SRR11724314_1.fastq,/Users/eugenianikonorova/Documents/ITMO/data/SRR11724314_2.fastq
SRR38117627,France,/Users/eugenianikonorova/Documents/ITMO/data/SRR38117627_1.fastq,/Users/eugenianikonorova/Documents/ITMO/data/SRR38117627_2.fastq
